id,name,value
1,Alice,30
2,Olivia,124
3,Noah,81
4,Ivan,25
5,Noah,75
6,David,74
7,Bob,92
8,Kate,84
9,Olivia,51
10,Helen,107
11,Bob,39
12,Kate,28
13,Liam,40
14,Kate,40
15,Liam,37
16,Alice,21
17,Olivia,115
18,Frank,30
19,David,98
20,Bob,50
21,Alice,39
22,David,93
23,Bob,78
24,Jack,79
25,Kate,68
26,Liam,82
27,David,69
28,Alice,88
29,Liam,8
30,Charlie,66
31,Bob,75
32,Grace,91
33,Frank,56
34,David,55
35,Ivan,28
36,Grace,94
37,Bob,61
38,Olivia,12
39,Olivia,52
40,Frank,90
41,Liam,90
42,Ivan,117
43,Bob,57
44,Frank,89
45,Alice,51
46,Noah,120
47,Grace,100
48,Jack,82
49,David,75
50,Alice,98
51,Alice,73
52,Grace,86
53,Frank,13
54,Olivia,40
55,Helen,55
56,Grace,62
57,Liam,109
58,Jack,16
59,Noah,33
60,Noah,70
61,Bob,100
62,Kate,60
63,Charlie,48
64,Jack,56
65,Olivia,21
66,Olivia,26
67,Jack,105
68,Liam,115
69,Alice,38
70,Ivan,64
71,Kate,88
72,David,29
73,Frank,102
74,Alice,125
75,Grace,108
76,Mia,92
77,Jack,101
78,Kate,20
79,Mia,39
80,Jack,86
81,Kate,114
82,Alice,73
83,Helen,65
84,Emma,39
85,Helen,42
86,Mia,11
87,Olivia,40
88,Frank,6
89,Alice,111
90,Bob,79
91,Bob,101
92,Charlie,118
93,Emma,61
94,Alice,65
95,Jack,26
96,Kate,99
97,Ivan,9
98,Alice,35
99,Grace,40
100,Ivan,11
101,Bob,93
102,Kate,120
103,David,66
104,Kate,26
105,Kate,31
106,David,95
107,Liam,28
108,Noah,117
109,Mia,14
110,Ivan,99
111,Liam,43
112,Helen,16
113,Frank,29
114,Helen,25
115,Ivan,116
116,Jack,83
117,Liam,69
118,Bob,86
119,Kate,93
120,Noah,5
121,Helen,23
122,Liam,54
123,Kate,95
124,Liam,124
125,Ivan,13
126,Jack,42
127,Emma,57
128,Jack,112
129,Charlie,69
130,Grace,54
131,Alice,36
132,Helen,92
133,Grace,12
134,Olivia,11
135,Frank,26
136,Grace,38
137,Frank,92
138,Jack,19
139,Frank,102
140,Liam,60
141,Kate,42
142,David,9
143,Olivia,58
144,Ivan,118
145,Olivia,38
146,Liam,66
147,Mia,56
148,Kate,10
149,Frank,55
150,Emma,13
151,Ivan,101
152,Emma,70
153,Bob,92
154,Liam,22
155,Charlie,119
156,David,96
157,Jack,117
158,Grace,29
159,Kate,9
160,Liam,57
161,Emma,23
162,Kate,71
163,Liam,66
164,Jack,43
165,Noah,79
166,Jack,104
167,Noah,85
168,David,42
169,Ivan,89
170,Bob,21
171,Frank,125
172,Frank,23
173,Alice,66
174,Kate,65
175,Frank,57
176,Mia,60
177,Bob,50
178,Alice,22
179,Bob,63
180,Frank,90
181,Helen,49
182,Helen,58
183,David,64
184,Bob,9
185,Olivia,54
186,Bob,68
187,Emma,124
188,Kate,69
189,David,6
190,Bob,109
191,Alice,51
192,Jack,69
193,David,83
194,Charlie,8
195,Helen,18
196,Kate,107
197,Kate,87
198,Helen,56
199,Alice,87
200,Jack,6
201,Noah,70
202,Bob,83
203,David,107
204,Mia,72
205,Grace,75
206,Ivan,44
207,Alice,55
208,Helen,31
209,Helen,33
210,Jack,83
211,Frank,28
212,Grace,98
213,Mia,99
214,Noah,100
215,Liam,64
216,Frank,83
217,Liam,102
218,Noah,9
219,David,93
220,Olivia,112
221,Bob,19
222,Olivia,98
223,Jack,65
224,Helen,122
225,Helen,26
226,Frank,74
227,David,107
228,Bob,116
229,Helen,50
230,Bob,90
231,Olivia,93
232,Charlie,40
233,Emma,31
234,Noah,22
235,Alice,44
236,Alice,62
237,Mia,36
238,Ivan,30
239,Frank,110
240,Bob,105
241,Frank,9
242,Alice,66
243,Alice,119
244,Emma,9
245,Ivan,7
246,Charlie,8
247,Frank,14
248,Bob,26
249,Alice,80
